,User,Follows_Count,Language,Date_Tweet,Source_of_Tweet,Tweet,Hashtags,Place
0,mattswineworld,968,en,2010-06-11 23:59:57+00:00,Twitter Web Client,is very impressed that he accurately predicted the results of both of today's games #WorldCup,['WorldCup'],
1,BestClubPenguin,1851,en,2010-06-11 23:59:57+00:00,Twitter Web Client,"#WorldCup Team Reference Cards: #USA, #Eng, #Gre, #Kor, #Arg, #Nig http://sbnation.com/e/1277981","['WorldCup', 'USA', 'Eng', 'Gre', 'Kor', 'Arg', 'Nig']",
2,whatkai,166,en,2010-06-11 23:59:56+00:00,Twitter Web Client,dead battery! #worldcup,['worldcup'],
3,angelinebounds,575,en,2010-06-11 23:59:55+00:00,Twitter Web Client,Such a beaUTIful day for a Tea Party!!! #WorldCup #USA #AO #ECS,"['WorldCup', 'USA', 'AO', 'ECS']",
4,Michael_D_Thorn,616,en,2010-06-11 23:59:54+00:00,Echofon,"USA USA USA USA!! Let's do this like we always knew this for Ben Franklin, Vinnie Stigma, and motherfuck'n freeeeeedom!!! #worldcup",['worldcup'],
5,dhykibumelf,625,en,2010-06-11 23:59:54+00:00,Twitter Web Client,SOUTH KOREA @AllRiseSilver @donghae861015 @Heedictator @ShinsFriends @myblacksmile @special1004 @shfly3424 @ryeong9 @siwon407 #WORLDCUP :) ♥,['WORLDCUP'],
6,Pippsta,2059,en,2010-06-11 23:59:50+00:00,Twitter for BlackBerry®,Hey Stockton! Is there a good place to watch the match tomorrow? #worldcup,['worldcup'],
7,worldcup2010ff,464,en,2010-06-11 23:59:48+00:00,Twitter Web Client,Uruguay can prosper against fragile French http://ffd.me/boFaKi #worldcup2010 #worldcup,"['worldcup2010', 'worldcup']",
8,worldcup2010ff,464,en,2010-06-11 23:59:48+00:00,Twitter Web Client,"France, Uruguay battle out dour 0-0 draw http://ffd.me/aRHsdf #worldcup2010 #worldcup","['worldcup2010', 'worldcup']",
9,worldcup2010ff,464,en,2010-06-11 23:59:47+00:00,Twitter Web Client,All aboard! http://ffd.me/bvUBHb #worldcup2010 #worldcup,"['worldcup2010', 'worldcup']",
10,worldcup2010ff,464,en,2010-06-11 23:59:46+00:00,Twitter Web Client,Hosts South Africa held 1-1 by Mexico http://ffd.me/9kJzvU #worldcup2010 #worldcup,"['worldcup2010', 'worldcup']",
11,worldcup2010ff,464,en,2010-06-11 23:59:46+00:00,Twitter Web Client,Parreira: Draw a 'fair result' http://ffd.me/bPD5FN #worldcup2010 #worldcup,"['worldcup2010', 'worldcup']",
